waveform	[0]	[1]	[2]	[3]
t0	1/30/2024  08:16:16.622364	1/30/2024  08:16:16.622364	1/30/2024  08:16:16.622364	1/30/2024  08:16:16.622364
delta t	0.050000	0.050000	0.050000	0.050000

time	Y[0]	Y[1]	Y[2]	Y[3]
1/30/2024  08:16:16.622364	-8.511523E+1	-3.403230E+0	2.494760E+1	1.044876E+2
1/30/2024  08:16:16.672364	-8.316708E+1	-5.196705E+0	2.493598E+1	1.043573E+2
1/30/2024  08:16:16.722364	-8.316708E+1	-2.892242E+1	2.493018E+1	1.046184E+2
1/30/2024  08:16:16.772364	-8.316708E+1	-1.518963E+1	2.493598E+1	1.044441E+2
1/30/2024  08:16:16.822364	-8.511523E+1	-1.696869E+1	2.494179E+1	1.046621E+2
1/30/2024  08:16:16.872364	-8.511523E+1	-3.769409E+1	2.494760E+1	1.043573E+2
1/30/2024  08:16:16.922364	-8.511523E+1	-1.463394E+1	2.494179E+1	1.043573E+2
1/30/2024  08:16:16.972364	-8.316708E+1	-3.742788E+1	2.494760E+1	1.046184E+2
1/30/2024  08:16:17.022364	-8.511523E+1	-3.468766E+1	2.493018E+1	1.047059E+2
1/30/2024  08:16:17.072364	-8.316708E+1	-2.863640E+1	2.494179E+1	1.045748E+2
1/30/2024  08:16:17.122364	-9.658363E+1	2.978259E+0	2.492437E+1	1.044876E+2
1/30/2024  08:16:17.172364	-9.096481E+1	-4.199905E+1	2.493018E+1	1.045312E+2
1/30/2024  08:16:17.222364	-8.154874E+1	-3.599183E+0	2.493598E+1	1.044441E+2
1/30/2024  08:16:17.272364	-8.316708E+1	-2.549367E+1	2.494179E+1	1.047059E+2
1/30/2024  08:16:17.322364	-8.316708E+1	-1.236160E+1	2.493598E+1	1.046184E+2
1/30/2024  08:16:17.372364	-8.316708E+1	-2.525265E+1	2.493018E+1	1.045312E+2
1/30/2024  08:16:17.422364	-8.511523E+1	-1.730190E+1	2.494179E+1	1.047059E+2
1/30/2024  08:16:17.472364	-8.511523E+1	-1.553335E+1	2.493018E+1	1.046184E+2
1/30/2024  08:16:17.522364	-8.511523E+1	-2.004115E+1	2.493018E+1	1.044876E+2
