waveform	[0]	[1]	[2]	[3]
t0	1/30/2024  07:53:37.478109	1/30/2024  07:53:37.478109	1/30/2024  07:53:37.478109	1/30/2024  07:53:37.478109
delta t	0.050000	0.050000	0.050000	0.050000

time	Y[0]	Y[1]	Y[2]	Y[3]
1/30/2024  07:53:37.478109	-8.316708E+1	-1.000361E+1	2.561693E+1	1.038839E+2
1/30/2024  07:53:37.528109	-8.316708E+1	2.221670E+1	2.569279E+1	1.037986E+2
1/30/2024  07:53:37.578109	-9.096481E+1	1.323054E+1	2.553528E+1	1.037135E+2
1/30/2024  07:53:37.628109	-8.757768E+1	-1.840599E+0	2.552361E+1	1.037135E+2
1/30/2024  07:53:37.678109	-9.096481E+1	8.484522E+0	2.558193E+1	1.037986E+2
1/30/2024  07:53:37.728109	-8.757768E+1	8.922793E+0	2.581543E+1	1.037560E+2
1/30/2024  07:53:37.778109	-8.757768E+1	2.827788E+0	2.574534E+1	1.039267E+2
1/30/2024  07:53:37.828109	-9.096481E+1	1.815896E+0	2.590310E+1	1.039695E+2
1/30/2024  07:53:37.878109	-9.096481E+1	7.223038E+0	2.565194E+1	1.037986E+2
1/30/2024  07:53:37.928109	-8.757768E+1	-8.091038E+0	2.580959E+1	1.035862E+2
1/30/2024  07:53:37.978109	-8.757768E+1	6.645063E-3	2.602009E+1	1.040124E+2
1/30/2024  07:53:38.028109	-9.096481E+1	-4.393220E+0	2.574534E+1	1.040124E+2
1/30/2024  07:53:38.078109	-8.511523E+1	1.254788E+1	2.598498E+1	1.040124E+2
1/30/2024  07:53:38.128109	-8.511523E+1	-1.144910E+0	2.623679E+1	1.039695E+2
1/30/2024  07:53:38.178109	-9.096481E+1	4.607655E+0	2.583296E+1	1.038412E+2
1/30/2024  07:53:38.228109	-9.096481E+1	1.258533E+0	2.586218E+1	1.038839E+2
1/30/2024  07:53:38.278109	-8.757768E+1	1.311504E+1	2.591480E+1	1.039267E+2
1/30/2024  07:53:38.328109	-9.658363E+1	1.013670E+1	2.600253E+1	1.037135E+2
